,num_nodes,avg_degree,frac_directed,degree_variance,num_samples,admg_model,beta_low,beta_high,omega_offdiag_low,omega_offdiag_high,omega_diag_low,omega_diag_high,standardize_data,center_data,steps_per_env,n_envs,normalize_advantage,n_epochs,device,n_steps,ent_coef,dcd_num_restarts,vec_envs_random_state,relcadilac_time_sec,gfci_time_sec,dcd_time_sec,dcd_pag_metrics_tail_tpr,dcd_pag_metrics_tail_fdr,dcd_pag_metrics_tail_f1,dcd_pag_metrics_head_tpr,dcd_pag_metrics_head_fdr,dcd_pag_metrics_head_f1,dcd_pag_metrics_circle_tpr,dcd_pag_metrics_circle_fdr,dcd_pag_metrics_circle_f1,dcd_pag_metrics_skeleton_f1,dcd_pag_metrics_skeleton_tpr,dcd_pag_metrics_skeleton_fdr,dcd_admg_metrics_skeleton_tpr,dcd_admg_metrics_skeleton_fdr,dcd_admg_metrics_skeleton_f1,dcd_admg_metrics_admg_tpr,dcd_admg_metrics_admg_fdr,dcd_admg_metrics_admg_f1,dcd_admg_metrics_admg_shd,gfci_pag_metrics_tail_tpr,gfci_pag_metrics_tail_fdr,gfci_pag_metrics_tail_f1,gfci_pag_metrics_head_tpr,gfci_pag_metrics_head_fdr,gfci_pag_metrics_head_f1,gfci_pag_metrics_circle_tpr,gfci_pag_metrics_circle_fdr,gfci_pag_metrics_circle_f1,gfci_pag_metrics_skeleton_f1,gfci_pag_metrics_skeleton_tpr,gfci_pag_metrics_skeleton_fdr,relcadilac_pag_metrics_tail_tpr,relcadilac_pag_metrics_tail_fdr,relcadilac_pag_metrics_tail_f1,relcadilac_pag_metrics_head_tpr,relcadilac_pag_metrics_head_fdr,relcadilac_pag_metrics_head_f1,relcadilac_pag_metrics_circle_tpr,relcadilac_pag_metrics_circle_fdr,relcadilac_pag_metrics_circle_f1,relcadilac_pag_metrics_skeleton_f1,relcadilac_pag_metrics_skeleton_tpr,relcadilac_pag_metrics_skeleton_fdr,relcadilac_admg_metrics_skeleton_tpr,relcadilac_admg_metrics_skeleton_fdr,relcadilac_admg_metrics_skeleton_f1,relcadilac_admg_metrics_admg_tpr,relcadilac_admg_metrics_admg_fdr,relcadilac_admg_metrics_admg_f1,relcadilac_admg_metrics_admg_shd
4,5,4,0.6,0.2,2000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,47.129279884000425,0.018018097000094713,12.96773020799992,0.0,1.0,0.0,0.0,1.0,0.0,0.2777777777777778,0.0,0.43478260869565216,0.8,0.6666666666666666,0.0,0.46153846153846156,0.25,0.5714285714285714,0.3333333333333333,0.5,0.4,9.0,0.0,1.0,0.0,0.0,1.0,0.0,0.2777777777777778,0.0,0.43478260869565216,0.8,0.6666666666666666,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.6111111111111112,0.0,0.7586206896551724,0.875,0.7777777777777778,0.0,0.5384615384615384,0.0,0.7,0.5555555555555556,0.2857142857142857,0.6250000000000001,6.0
5,10,4,0.6,0.2,2000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,140.49989532899963,0.04012138399957621,187.53560939700037,0.2222222222222222,0.7142857142857143,0.25,0.6666666666666666,0.5238095238095238,0.5555555555555556,0.875,0.5625,0.5833333333333334,0.7368421052631579,0.875,0.36363636363636365,0.7,0.5172413793103449,0.5714285714285714,0.625,0.5454545454545454,0.5263157894736842,18.0,0.5555555555555556,0.0,0.7142857142857143,0.7333333333333333,0.0,0.8461538461538461,0.75,0.25,0.75,0.8571428571428571,0.75,0.0,1.0,0.55,0.6206896551724138,0.9333333333333333,0.5757575757575758,0.5833333333333334,0.625,0.4444444444444444,0.5882352941176471,0.6382978723404256,0.9375,0.5161290322580645,0.75,0.5833333333333334,0.5357142857142857,0.75,0.6129032258064516,0.5106382978723403,23.0
6,10,4,0.6,0.2,2000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,123.09980616599933,0.1722068279996165,47.400920812999175,0.6666666666666666,0.5,0.5714285714285714,0.7333333333333333,0.08333333333333333,0.8148148148148148,0.5833333333333334,0.125,0.7,0.8888888888888888,0.8,0.0,0.6190476190476191,0.07142857142857142,0.7428571428571429,0.6,0.25,0.6666666666666665,9.0,0.6666666666666666,0.0,0.8,0.6666666666666666,0.0,0.8,0.75,0.1,0.8181818181818182,0.8461538461538461,0.7333333333333333,0.0,1.0,0.8,0.3333333333333333,0.8666666666666667,0.5666666666666667,0.5777777777777777,0.5,0.6,0.4444444444444444,0.6666666666666666,1.0,0.5,0.7619047619047619,0.5555555555555556,0.5614035087719298,0.6666666666666666,0.6666666666666666,0.4444444444444444,25.0
7,10,4,0.6,0.2,2000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,181.43247849699947,0.1866919730000518,260.5776876479995,0.5555555555555556,0.375,0.5882352941176471,0.6666666666666666,0.5555555555555556,0.5333333333333333,0.42857142857142855,0.5384615384615384,0.4444444444444444,0.8301886792452831,0.88,0.21428571428571427,0.76,0.4864864864864865,0.6129032258064516,0.56,0.5,0.5283018867924528,25.0,0.0,1.0,0.0,0.16666666666666666,0.75,0.2,0.0,1.0,0.0,0.5294117647058824,0.36,0.0,0.3888888888888889,0.5,0.4375,0.3888888888888889,0.6666666666666666,0.358974358974359,0.7142857142857143,0.7872340425531915,0.32786885245901637,0.7575757575757576,1.0,0.3902439024390244,0.4,0.7674418604651163,0.29411764705882354,0.32,0.8048780487804879,0.24242424242424243,50.0
8,10,4,0.6,0.2,2000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,181.6844255190008,0.028370978001476033,94.86738701200011,0.14285714285714285,0.0,0.25,0.7777777777777778,0.2222222222222222,0.7777777777777778,0.8571428571428571,0.6,0.5454545454545454,0.8484848484848485,0.875,0.17647058823529413,0.7727272727272727,0.2916666666666667,0.7391304347826086,0.6875,0.35294117647058826,0.6666666666666667,11.0,0.14285714285714285,0.0,0.25,0.5555555555555556,0.0,0.7142857142857143,0.7142857142857143,0.6153846153846154,0.5,0.8571428571428571,0.75,0.0,0.8571428571428571,0.5,0.631578947368421,0.6111111111111112,0.3888888888888889,0.6111111111111112,0.2857142857142857,0.875,0.17391304347826086,0.717948717948718,0.875,0.391304347826087,0.5909090909090909,0.4583333333333333,0.5652173913043478,0.5625,0.6086956521739131,0.46153846153846156,21.0
9,10,4,0.6,0.2,2000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,127.6588423510002,0.03281077800056664,49.54007264400025,0.42857142857142855,0.25,0.5454545454545454,0.375,0.07692307692307693,0.5333333333333333,0.7142857142857143,0.7058823529411765,0.4166666666666667,0.85,0.7391304347826086,0.0,0.6060606060606061,0.09090909090909091,0.7272727272727273,0.5,0.35294117647058826,0.5641025641025642,17.0,0.14285714285714285,0.6666666666666666,0.2,0.21875,0.4166666666666667,0.3181818181818182,0.2857142857142857,0.8181818181818182,0.2222222222222222,0.7222222222222222,0.5652173913043478,0.0,0.5714285714285714,0.7647058823529411,0.3333333333333333,0.46875,0.5714285714285714,0.44776119402985076,0.2857142857142857,0.9,0.14814814814814814,0.6779661016949152,0.8695652173913043,0.4444444444444444,0.5151515151515151,0.5641025641025641,0.4722222222222222,0.36363636363636365,0.7777777777777778,0.27586206896551724,42.0
10,15,4,0.6,0.2,2000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,513.1549707310005,0.5790566420000687,337.94981199500035,0.6666666666666666,0.15151515151515152,0.7466666666666667,0.6101694915254238,0.1,0.7272727272727273,0.6,0.7272727272727273,0.375,0.8421052631578947,0.7547169811320755,0.047619047619047616,0.639344262295082,0.09302325581395349,0.75,0.6415094339622641,0.19047619047619047,0.7157894736842104,27.0,0.07142857142857142,0.0,0.13333333333333333,0.15254237288135594,0.4375,0.24,0.0,1.0,0.0,0.38235294117647056,0.24528301886792453,0.13333333333333333,0.16666666666666666,0.8409090909090909,0.16279069767441862,0.4915254237288136,0.6741573033707865,0.3918918918918919,0.4,0.9649122807017544,0.06451612903225806,0.6756756756756757,0.9433962264150944,0.47368421052631576,0.5081967213114754,0.693069306930693,0.38271604938271603,0.37735849056603776,0.7894736842105263,0.2702702702702703,108.0
11,15,4,0.6,0.2,2000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,343.05030888500005,0.04732055000022228,170.23234626199883,1.0,0.2777777777777778,0.8387096774193549,0.8928571428571429,0.21875,0.8333333333333334,0.3076923076923077,0.0,0.47058823529411764,0.9259259259259259,0.9259259259259259,0.07407407407407407,0.84375,0.15625,0.84375,0.7777777777777778,0.2222222222222222,0.7777777777777778,12.0,0.3076923076923077,0.0,0.47058823529411764,0.6428571428571429,0.18181818181818182,0.72,0.5384615384615384,0.3,0.6086956521739131,0.8,0.6666666666666666,0.0,0.7692307692307693,0.8484848484848485,0.25316455696202533,0.7142857142857143,0.7297297297297297,0.39215686274509803,0.38461538461538464,0.75,0.30303030303030304,0.4672897196261682,0.9259259259259259,0.6875,0.65625,0.7375,0.375,0.6666666666666666,0.775,0.33644859813084116,71.0
12,15,4,0.6,0.2,2000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,370.91614632799974,0.1765982900014933,4579.324161764,0.42857142857142855,0.29411764705882354,0.5333333333333333,0.7209302325581395,0.39805825242718446,0.656084656084656,0.3333333333333333,0.875,0.18181818181818182,0.78125,0.8333333333333334,0.2647058823529412,0.7160493827160493,0.48214285714285715,0.6010362694300518,0.5,0.5882352941176471,0.45161290322580644,68.0,0.17857142857142858,0.0,0.30303030303030304,0.1744186046511628,0.3181818181818182,0.2777777777777778,0.16666666666666666,0.9090909090909091,0.11764705882352941,0.4810126582278481,0.31666666666666665,0.0,0.5357142857142857,0.6428571428571429,0.42857142857142855,0.38372093023255816,0.5352112676056338,0.42038216560509556,0.3333333333333333,0.9636363636363636,0.06557377049180328,0.7222222222222222,0.8666666666666667,0.38095238095238093,0.5061728395061729,0.5340909090909091,0.48520710059171596,0.39285714285714285,0.7380952380952381,0.3142857142857143,96.0
13,15,4,0.6,0.2,2000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,179.53137019199858,0.1941153480001958,107.36277742699895,0.3333333333333333,0.75,0.2857142857142857,0.56,0.2631578947368421,0.6363636363636364,0.5833333333333334,0.2222222222222222,0.6666666666666666,0.7222222222222222,0.65,0.1875,0.5172413793103449,0.25,0.6122448979591837,0.6,0.25,0.6666666666666665,12.0,0.0,1.0,0.0,0.56,0.06666666666666667,0.7,0.75,0.3076923076923077,0.72,0.8235294117647058,0.7,0.0,1.0,0.9347826086956522,0.12244897959183673,0.6,0.7413793103448276,0.3614457831325301,0.0,1.0,0.0,0.47368421052631576,0.9,0.6785714285714286,0.5517241379310345,0.75,0.34408602150537637,0.45,0.8392857142857143,0.2368421052631579,58.0
