,num_nodes,avg_degree,frac_directed,degree_variance,num_samples,admg_model,beta_low,beta_high,omega_offdiag_low,omega_offdiag_high,omega_diag_low,omega_diag_high,standardize_data,center_data,steps_per_env,n_envs,normalize_advantage,n_epochs,device,n_steps,ent_coef,dcd_num_restarts,relcadilac_time_sec,gfci_time_sec,dcd_time_sec,dcd_pag_metrics_tail_tpr,dcd_pag_metrics_tail_fdr,dcd_pag_metrics_tail_f1,dcd_pag_metrics_head_tpr,dcd_pag_metrics_head_fdr,dcd_pag_metrics_head_f1,dcd_pag_metrics_circle_tpr,dcd_pag_metrics_circle_fdr,dcd_pag_metrics_circle_f1,dcd_pag_metrics_skeleton_f1,dcd_pag_metrics_skeleton_tpr,dcd_pag_metrics_skeleton_fdr,dcd_admg_metrics_skeleton_tpr,dcd_admg_metrics_skeleton_fdr,dcd_admg_metrics_skeleton_f1,dcd_admg_metrics_admg_tpr,dcd_admg_metrics_admg_fdr,dcd_admg_metrics_admg_f1,dcd_admg_metrics_admg_shd,gfci_pag_metrics_tail_tpr,gfci_pag_metrics_tail_fdr,gfci_pag_metrics_tail_f1,gfci_pag_metrics_head_tpr,gfci_pag_metrics_head_fdr,gfci_pag_metrics_head_f1,gfci_pag_metrics_circle_tpr,gfci_pag_metrics_circle_fdr,gfci_pag_metrics_circle_f1,gfci_pag_metrics_skeleton_f1,gfci_pag_metrics_skeleton_tpr,gfci_pag_metrics_skeleton_fdr,relcadilac_pag_metrics_tail_tpr,relcadilac_pag_metrics_tail_fdr,relcadilac_pag_metrics_tail_f1,relcadilac_pag_metrics_head_tpr,relcadilac_pag_metrics_head_fdr,relcadilac_pag_metrics_head_f1,relcadilac_pag_metrics_circle_tpr,relcadilac_pag_metrics_circle_fdr,relcadilac_pag_metrics_circle_f1,relcadilac_pag_metrics_skeleton_f1,relcadilac_pag_metrics_skeleton_tpr,relcadilac_pag_metrics_skeleton_fdr,relcadilac_admg_metrics_skeleton_tpr,relcadilac_admg_metrics_skeleton_fdr,relcadilac_admg_metrics_skeleton_f1,relcadilac_admg_metrics_admg_tpr,relcadilac_admg_metrics_admg_fdr,relcadilac_admg_metrics_admg_f1,relcadilac_admg_metrics_admg_shd,vec_envs_random_state
0,10,4,0.6,0.2,500,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,79.88264501399863,0.3999257180003042,74.84439703399948,0.6666666666666666,0.25,0.7058823529411765,0.5384615384615384,0.0,0.7,0.8571428571428571,0.625,0.5217391304347826,0.85,0.8095238095238095,0.10526315789473684,0.6296296296296297,0.22727272727272727,0.6938775510204082,0.5714285714285714,0.3684210526315789,0.6,16.0,0.0,1.0,0.0,0.2692307692307692,0.3,0.3888888888888889,0.14285714285714285,0.8888888888888888,0.125,0.6875,0.5238095238095238,0.0,0.7777777777777778,0.631578947368421,0.5,0.5384615384615384,0.46153846153846156,0.5384615384615384,0.7142857142857143,0.7619047619047619,0.35714285714285715,0.7407407407407407,0.9523809523809523,0.3939393939393939,0.6666666666666666,0.47058823529411764,0.5901639344262295,0.6190476190476191,0.6060606060606061,0.48148148148148145,28.0,
4,10,4,0.6,0.2,500,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,30.12477495100029,0.4642905599994265,82.77833986699989,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.23333333333333334,0.3,0.35,0.0,1.0,0.0,0.7272727272727273,0.6666666666666666,0.2,0.43333333333333335,0.2777777777777778,0.5416666666666666,0.2222222222222222,0.7333333333333333,0.2424242424242424,25.0,0.0,1.0,0.0,0.2,0.0,0.3333333333333333,0.0,1.0,0.0,0.6666666666666666,0.5,0.0,0.3333333333333333,0.8181818181818182,0.23529411764705882,0.5333333333333333,0.38461538461538464,0.5714285714285714,0.0,1.0,0.0,0.7619047619047619,0.8888888888888888,0.3333333333333333,0.5666666666666667,0.39285714285714285,0.5862068965517241,0.3888888888888889,0.7083333333333334,0.3333333333333333,28.0,0.0
5,10,4,0.6,0.2,500,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,41.77884789400014,0.1636757039996155,40.02943754199987,1.0,0.2,0.8888888888888888,0.6428571428571429,0.0,0.782608695652174,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.0,0.6875,0.0,0.8148148148148148,0.75,0.1,0.8181818181818182,4.0,0.0,1.0,0.0,0.2857142857142857,0.0,0.4444444444444444,0.8333333333333334,0.5833333333333334,0.5555555555555556,0.8,0.6666666666666666,0.0,0.5,0.8571428571428571,0.2222222222222222,0.42857142857142855,0.7391304347826086,0.32432432432432434,0.16666666666666666,0.8888888888888888,0.13333333333333333,0.5714285714285714,0.8333333333333334,0.5652173913043478,0.375,0.7692307692307693,0.2857142857142857,0.3333333333333333,0.8260869565217391,0.22857142857142854,27.0,0.0
6,10,4,0.6,0.2,500,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,60.051951778999864,0.21198097399974358,57.03607828599979,0.8571428571428571,0.4,0.7058823529411765,0.5789473684210527,0.26666666666666666,0.6470588235294118,0.9,0.18181818181818182,0.8571428571428571,0.7777777777777778,0.7777777777777778,0.2222222222222222,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.4444444444444444,0.5555555555555556,16.0,0.2857142857142857,0.3333333333333333,0.4,0.3157894736842105,0.25,0.4444444444444444,0.2,0.7142857142857143,0.23529411764705882,0.6666666666666666,0.5,0.0,0.8571428571428571,0.7,0.4444444444444444,0.8421052631578947,0.5294117647058824,0.6037735849056604,0.3,0.625,0.3333333333333333,0.6938775510204082,0.9444444444444444,0.45161290322580644,0.8571428571428571,0.5135135135135135,0.6206896551724138,0.8333333333333334,0.5161290322580645,0.6122448979591837,19.0,0.0
7,10,4,0.6,0.2,500,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,46.70659953500035,0.030727332000424212,39.673348602999795,0.75,0.3333333333333333,0.7058823529411765,0.5263157894736842,0.23076923076923078,0.625,0.6,0.5,0.5454545454545454,0.7333333333333333,0.6875,0.21428571428571427,0.5,0.26666666666666666,0.5945945945945946,0.5625,0.35714285714285715,0.6000000000000001,12.0,0.0,1.0,0.0,0.10526315789473684,0.6666666666666666,0.16,0.8,0.6666666666666666,0.47058823529411764,0.7692307692307693,0.625,0.0,0.625,0.6428571428571429,0.45454545454545453,0.3684210526315789,0.6818181818181818,0.34146341463414637,0.4,0.875,0.19047619047619047,0.6190476190476191,0.8125,0.5,0.5909090909090909,0.5666666666666667,0.5,0.625,0.6153846153846154,0.4761904761904762,22.0,0.0
