num_nodes,avg_degree,frac_directed,degree_variance,num_samples,admg_model,beta_low,beta_high,omega_offdiag_low,omega_offdiag_high,omega_diag_low,omega_diag_high,standardize_data,center_data,steps_per_env,n_envs,normalize_advantage,n_epochs,device,n_steps,ent_coef,dcd_num_restarts,vec_envs_random_state,do_thresholding,threshold,generator_seed,relcadilac_time_sec,ground_truth_bic,relcadilac_pred_bic,relcadilac_pag_metrics_tail_tpr,relcadilac_pag_metrics_tail_fdr,relcadilac_pag_metrics_tail_f1,relcadilac_pag_metrics_head_tpr,relcadilac_pag_metrics_head_fdr,relcadilac_pag_metrics_head_f1,relcadilac_pag_metrics_circle_tpr,relcadilac_pag_metrics_circle_fdr,relcadilac_pag_metrics_circle_f1,relcadilac_pag_metrics_skeleton_f1,relcadilac_pag_metrics_skeleton_tpr,relcadilac_pag_metrics_skeleton_fdr,relcadilac_admg_metrics_skeleton_tpr,relcadilac_admg_metrics_skeleton_fdr,relcadilac_admg_metrics_skeleton_f1,relcadilac_admg_metrics_admg_tpr,relcadilac_admg_metrics_admg_fdr,relcadilac_admg_metrics_admg_f1,relcadilac_admg_metrics_admg_shd,relcadilac_thresh_pag_metrics_tail_tpr,relcadilac_thresh_pag_metrics_tail_fdr,relcadilac_thresh_pag_metrics_tail_f1,relcadilac_thresh_pag_metrics_head_tpr,relcadilac_thresh_pag_metrics_head_fdr,relcadilac_thresh_pag_metrics_head_f1,relcadilac_thresh_pag_metrics_circle_tpr,relcadilac_thresh_pag_metrics_circle_fdr,relcadilac_thresh_pag_metrics_circle_f1,relcadilac_thresh_pag_metrics_skeleton_f1,relcadilac_thresh_pag_metrics_skeleton_tpr,relcadilac_thresh_pag_metrics_skeleton_fdr,relcadilac_thresh_admg_metrics_skeleton_tpr,relcadilac_thresh_admg_metrics_skeleton_fdr,relcadilac_thresh_admg_metrics_skeleton_f1,relcadilac_thresh_admg_metrics_admg_tpr,relcadilac_thresh_admg_metrics_admg_fdr,relcadilac_thresh_admg_metrics_admg_f1,relcadilac_thresh_admg_metrics_admg_shd
10,4,0.6,0.2,500,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,True,0.05,32,30.492763500995352,5661.0730956423395,5706.906318664551,0.875,0.65,0.5,0.65,0.5185185185185185,0.5531914893617021,0.6,0.5384615384615384,0.5217391304347826,0.7346938775510204,0.9473684210526315,0.4,0.6521739130434783,0.5,0.5660377358490566,0.631578947368421,0.6,0.4897959183673469,25.0,0.875,0.5333333333333333,0.6086956521739131,0.6,0.4782608695652174,0.5581395348837209,0.6,0.5714285714285714,0.5,0.7555555555555555,0.8947368421052632,0.34615384615384615,0.6086956521739131,0.6111111111111112,0.4745762711864407,0.631578947368421,0.6129032258064516,0.48000000000000004,21.0
10,4,0.6,0.2,500,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,True,0.05,32,51.649010180000914,6227.396363868741,6317.4262046813965,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.25,0.7391304347826086,0.2553191489361702,0.0,1.0,0.0,0.6792452830188679,0.9473684210526315,0.47058823529411764,0.5,0.6666666666666666,0.4,0.42105263157894735,0.7647058823529411,0.3018867924528302,37.0,0.16666666666666666,0.75,0.2,0.20833333333333334,0.6875,0.25,0.0,1.0,0.0,0.7391304347826086,0.8947368421052632,0.37037037037037035,0.4583333333333333,0.717948717948718,0.3492063492063492,0.42105263157894735,0.75,0.3137254901960784,30.0
10,4,0.6,0.2,1000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,True,0.05,32,106.32530977000715,12781.977599276062,12863.693237304688,0.8461538461538461,0.56,0.5789473684210527,0.6296296296296297,0.48484848484848486,0.5666666666666667,0.5,0.8333333333333334,0.25,0.7213114754098361,0.9565217391304348,0.42105263157894735,0.6896551724137931,0.5238095238095238,0.5633802816901409,0.6086956521739131,0.631578947368421,0.4590163934426229,33.0,0.8461538461538461,0.35294117647058826,0.7333333333333333,0.5925925925925926,0.3333333333333333,0.6274509803921569,1.0,0.7391304347826086,0.41379310344827586,0.8,0.9565217391304348,0.3125,0.6896551724137931,0.5348837209302325,0.5555555555555556,0.6086956521739131,0.6216216216216216,0.4666666666666667,27.0
10,4,0.6,0.2,1000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,True,0.05,32,79.33393726599752,13474.047447812414,13525.185585021973,0.75,0.8125,0.3,0.3448275862068966,0.47368421052631576,0.4166666666666667,0.5714285714285714,0.8260869565217391,0.26666666666666666,0.6122448979591837,0.75,0.4827586206896552,0.45161290322580644,0.5172413793103449,0.4666666666666667,0.4,0.7241379310344828,0.32653061224489793,33.0,0.75,0.7272727272727273,0.4,0.3103448275862069,0.3076923076923077,0.42857142857142855,0.7142857142857143,0.6875,0.43478260869565216,0.7,0.7,0.3,0.41935483870967744,0.5666666666666667,0.4262295081967213,0.4,0.68,0.35555555555555557,24.0
10,4,0.6,0.2,2000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,True,0.05,32,104.80524981299823,19543.33877408363,19609.712600708008,0.75,0.75,0.375,0.625,0.7222222222222222,0.38461538461538464,0.375,0.7,0.3333333333333333,0.6666666666666666,1.0,0.5,0.8181818181818182,0.5909090909090909,0.5454545454545454,0.8,0.6,0.5333333333333333,14.0,0.5,0.0,0.6666666666666666,0.5,0.0,0.6666666666666666,1.0,0.5,0.6666666666666666,0.9523809523809523,1.0,0.09090909090909091,0.8181818181818182,0.5909090909090909,0.5454545454545454,0.8,0.5,0.6153846153846154,5.0
10,4,0.6,0.2,2000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,True,0.05,32,105.53902396200283,23474.65312711078,23551.319122314453,1.0,0.9,0.18181818181818182,0.6666666666666666,0.6153846153846154,0.4878048780487805,0.3,0.75,0.2727272727272727,0.6486486486486487,0.9230769230769231,0.5,0.7,0.48148148148148145,0.5957446808510638,0.6153846153846154,0.6666666666666666,0.43243243243243246,21.0,1.0,0.5,0.6666666666666666,0.4666666666666667,0.4166666666666667,0.5185185185185185,0.7,0.5,0.5833333333333334,0.6666666666666666,0.6923076923076923,0.35714285714285715,0.5,0.6,0.4444444444444444,0.5384615384615384,0.631578947368421,0.4375,13.0
10,4,0.6,0.2,4000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,True,0.05,32,312.0440380469954,56600.38277162333,56661.460876464844,0.8,0.6666666666666666,0.47058823529411764,0.4,0.4166666666666667,0.4745762711864407,0.23076923076923078,0.7857142857142857,0.2222222222222222,0.8,0.8275862068965517,0.22580645161290322,0.5609756097560976,0.25806451612903225,0.6388888888888888,0.4444444444444444,0.6129032258064516,0.41379310344827586,34.0,0.8,0.38461538461538464,0.6956521739130435,0.45714285714285713,0.23809523809523808,0.5714285714285714,0.3076923076923077,0.6666666666666666,0.32,0.7692307692307693,0.6896551724137931,0.13043478260869565,0.4634146341463415,0.42424242424242425,0.5135135135135135,0.4444444444444444,0.5714285714285714,0.43636363636363634,26.0
10,4,0.6,0.2,4000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,True,0.05,32,204.44899616400653,50696.860352430005,50759.23538208008,0.8,0.7333333333333333,0.4,0.7058823529411765,0.5714285714285714,0.5333333333333333,0.125,0.8,0.15384615384615385,0.717948717948718,0.9333333333333333,0.4166666666666667,0.6818181818181818,0.5,0.5769230769230769,0.6,0.625,0.4615384615384615,21.0,0.2,0.5,0.2857142857142857,0.6470588235294118,0.21428571428571427,0.7096774193548387,0.5,0.6,0.4444444444444444,0.8571428571428571,0.8,0.07692307692307693,0.5454545454545454,0.5384615384615384,0.5,0.5333333333333333,0.5555555555555556,0.4848484848484848,12.0
