,num_nodes,avg_degree,frac_directed,degree_variance,num_samples,admg_model,beta_low,beta_high,omega_offdiag_low,omega_offdiag_high,omega_diag_low,omega_diag_high,standardize_data,center_data,steps_per_env,n_envs,normalize_advantage,n_epochs,device,n_steps,ent_coef,dcd_num_restarts,relcadilac_time_sec,gfci_time_sec,dcd_time_sec,dcd_pag_metrics_tail_tpr,dcd_pag_metrics_tail_fdr,dcd_pag_metrics_tail_f1,dcd_pag_metrics_head_tpr,dcd_pag_metrics_head_fdr,dcd_pag_metrics_head_f1,dcd_pag_metrics_circle_tpr,dcd_pag_metrics_circle_fdr,dcd_pag_metrics_circle_f1,dcd_pag_metrics_skeleton_f1,dcd_pag_metrics_skeleton_tpr,dcd_pag_metrics_skeleton_fdr,dcd_admg_metrics_skeleton_tpr,dcd_admg_metrics_skeleton_fdr,dcd_admg_metrics_skeleton_f1,dcd_admg_metrics_admg_tpr,dcd_admg_metrics_admg_fdr,dcd_admg_metrics_admg_f1,dcd_admg_metrics_admg_shd,gfci_pag_metrics_tail_tpr,gfci_pag_metrics_tail_fdr,gfci_pag_metrics_tail_f1,gfci_pag_metrics_head_tpr,gfci_pag_metrics_head_fdr,gfci_pag_metrics_head_f1,gfci_pag_metrics_circle_tpr,gfci_pag_metrics_circle_fdr,gfci_pag_metrics_circle_f1,gfci_pag_metrics_skeleton_f1,gfci_pag_metrics_skeleton_tpr,gfci_pag_metrics_skeleton_fdr,relcadilac_pag_metrics_tail_tpr,relcadilac_pag_metrics_tail_fdr,relcadilac_pag_metrics_tail_f1,relcadilac_pag_metrics_head_tpr,relcadilac_pag_metrics_head_fdr,relcadilac_pag_metrics_head_f1,relcadilac_pag_metrics_circle_tpr,relcadilac_pag_metrics_circle_fdr,relcadilac_pag_metrics_circle_f1,relcadilac_pag_metrics_skeleton_f1,relcadilac_pag_metrics_skeleton_tpr,relcadilac_pag_metrics_skeleton_fdr,relcadilac_admg_metrics_skeleton_tpr,relcadilac_admg_metrics_skeleton_fdr,relcadilac_admg_metrics_skeleton_f1,relcadilac_admg_metrics_admg_tpr,relcadilac_admg_metrics_admg_fdr,relcadilac_admg_metrics_admg_f1,relcadilac_admg_metrics_admg_shd,vec_envs_random_state
0,10,4,0.6,0.2,500,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,79.88264501399863,0.3999257180003042,74.84439703399948,0.6666666666666666,0.25,0.7058823529411765,0.5384615384615384,0.0,0.7,0.8571428571428571,0.625,0.5217391304347826,0.85,0.8095238095238095,0.10526315789473684,0.6296296296296297,0.22727272727272727,0.6938775510204082,0.5714285714285714,0.3684210526315789,0.6,16.0,0.0,1.0,0.0,0.2692307692307692,0.3,0.3888888888888889,0.14285714285714285,0.8888888888888888,0.125,0.6875,0.5238095238095238,0.0,0.7777777777777778,0.631578947368421,0.5,0.5384615384615384,0.46153846153846156,0.5384615384615384,0.7142857142857143,0.7619047619047619,0.35714285714285715,0.7407407407407407,0.9523809523809523,0.3939393939393939,0.6666666666666666,0.47058823529411764,0.5901639344262295,0.6190476190476191,0.6060606060606061,0.48148148148148145,28.0,
1,10,4,0.6,0.2,1000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,170.4987353109991,0.16040797699861287,391.618321983,0.5555555555555556,0.6153846153846154,0.45454545454545453,0.65,0.5,0.5652173913043478,0.0,1.0,0.0,0.7894736842105263,0.8823529411764706,0.2857142857142857,0.7272727272727273,0.4074074074074074,0.6530612244897959,0.5882352941176471,0.5238095238095238,0.5263157894736842,18.0,0.3333333333333333,0.0,0.5,0.4,0.1111111111111111,0.5517241379310345,0.6,0.625,0.46153846153846156,0.7407407407407407,0.5882352941176471,0.0,0.7777777777777778,0.631578947368421,0.5,0.6,0.5,0.5454545454545454,0.6,0.8571428571428571,0.23076923076923078,0.6530612244897959,0.9411764705882353,0.5,0.6818181818181818,0.5454545454545454,0.5454545454545454,0.6470588235294118,0.65625,0.4489795918367347,27.0,
2,10,4,0.6,0.2,2000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,164.39123786600067,0.1743937660012307,89.34047499400003,0.14285714285714285,0.6666666666666666,0.2,0.5294117647058824,0.35714285714285715,0.5806451612903226,0.625,0.5238095238095238,0.5405405405405406,0.7692307692307693,0.75,0.21052631578947367,0.68,0.2916666666666667,0.6938775510204082,0.55,0.42105263157894735,0.5641025641025641,17.0,0.14285714285714285,0.6666666666666666,0.2,0.35294117647058826,0.4,0.4444444444444444,0.4375,0.46153846153846156,0.4827586206896552,0.7878787878787878,0.65,0.0,0.0,1.0,0.0,0.6470588235294118,0.42105263157894735,0.6111111111111112,0.75,0.6923076923076923,0.43636363636363634,0.7407407407407407,1.0,0.4117647058823529,0.64,0.5555555555555556,0.5245901639344263,0.5,0.7058823529411765,0.37037037037037035,34.0,
3,10,4,0.6,0.2,4000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,349.4999316229987,0.1970596769988333,59.59470626199982,0.9473684210526315,0.1,0.9230769230769231,0.7058823529411765,0.04,0.8135593220338984,0.36363636363636365,0.42857142857142855,0.4444444444444444,0.896551724137931,0.8125,0.0,0.65,0.0,0.7878787878787878,0.71875,0.11538461538461539,0.7931034482758621,12.0,0.10526315789473684,0.3333333333333333,0.18181818181818182,0.2647058823529412,0.5263157894736842,0.33962264150943394,0.0,1.0,0.0,0.46511627906976744,0.3125,0.09090909090909091,0.3157894736842105,0.5384615384615384,0.375,0.5588235294117647,0.4411764705882353,0.5588235294117647,0.2727272727272727,0.918918918918919,0.125,0.8108108108108109,0.9375,0.2857142857142857,0.65,0.4090909090909091,0.6190476190476191,0.59375,0.5476190476190477,0.5135135135135135,36.0,
4,10,4,0.6,0.2,500,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,30.12477495100029,0.4642905599994265,82.77833986699989,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.23333333333333334,0.3,0.35,0.0,1.0,0.0,0.7272727272727273,0.6666666666666666,0.2,0.43333333333333335,0.2777777777777778,0.5416666666666666,0.2222222222222222,0.7333333333333333,0.2424242424242424,25.0,0.0,1.0,0.0,0.2,0.0,0.3333333333333333,0.0,1.0,0.0,0.6666666666666666,0.5,0.0,0.3333333333333333,0.8181818181818182,0.23529411764705882,0.5333333333333333,0.38461538461538464,0.5714285714285714,0.0,1.0,0.0,0.7619047619047619,0.8888888888888888,0.3333333333333333,0.5666666666666667,0.39285714285714285,0.5862068965517241,0.3888888888888889,0.7083333333333334,0.3333333333333333,28.0,0.0
5,10,4,0.6,0.2,500,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,41.77884789400014,0.1636757039996155,40.02943754199987,1.0,0.2,0.8888888888888888,0.6428571428571429,0.0,0.782608695652174,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.0,0.6875,0.0,0.8148148148148148,0.75,0.1,0.8181818181818182,4.0,0.0,1.0,0.0,0.2857142857142857,0.0,0.4444444444444444,0.8333333333333334,0.5833333333333334,0.5555555555555556,0.8,0.6666666666666666,0.0,0.5,0.8571428571428571,0.2222222222222222,0.42857142857142855,0.7391304347826086,0.32432432432432434,0.16666666666666666,0.8888888888888888,0.13333333333333333,0.5714285714285714,0.8333333333333334,0.5652173913043478,0.375,0.7692307692307693,0.2857142857142857,0.3333333333333333,0.8260869565217391,0.22857142857142854,27.0,0.0
6,10,4,0.6,0.2,500,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,60.051951778999864,0.21198097399974358,57.03607828599979,0.8571428571428571,0.4,0.7058823529411765,0.5789473684210527,0.26666666666666666,0.6470588235294118,0.9,0.18181818181818182,0.8571428571428571,0.7777777777777778,0.7777777777777778,0.2222222222222222,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.4444444444444444,0.5555555555555556,16.0,0.2857142857142857,0.3333333333333333,0.4,0.3157894736842105,0.25,0.4444444444444444,0.2,0.7142857142857143,0.23529411764705882,0.6666666666666666,0.5,0.0,0.8571428571428571,0.7,0.4444444444444444,0.8421052631578947,0.5294117647058824,0.6037735849056604,0.3,0.625,0.3333333333333333,0.6938775510204082,0.9444444444444444,0.45161290322580644,0.8571428571428571,0.5135135135135135,0.6206896551724138,0.8333333333333334,0.5161290322580645,0.6122448979591837,19.0,0.0
7,10,4,0.6,0.2,500,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,46.70659953500035,0.030727332000424212,39.673348602999795,0.75,0.3333333333333333,0.7058823529411765,0.5263157894736842,0.23076923076923078,0.625,0.6,0.5,0.5454545454545454,0.7333333333333333,0.6875,0.21428571428571427,0.5,0.26666666666666666,0.5945945945945946,0.5625,0.35714285714285715,0.6000000000000001,12.0,0.0,1.0,0.0,0.10526315789473684,0.6666666666666666,0.16,0.8,0.6666666666666666,0.47058823529411764,0.7692307692307693,0.625,0.0,0.625,0.6428571428571429,0.45454545454545453,0.3684210526315789,0.6818181818181818,0.34146341463414637,0.4,0.875,0.19047619047619047,0.6190476190476191,0.8125,0.5,0.5909090909090909,0.5666666666666667,0.5,0.625,0.6153846153846154,0.4761904761904762,22.0,0.0
8,10,4,0.6,0.2,1000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,108.10584110299988,0.16702306999923167,48.5274769280004,1.0,0.0,1.0,0.7222222222222222,0.0,0.8387096774193549,0.8888888888888888,0.2,0.8421052631578947,0.9473684210526315,0.9,0.0,0.8260869565217391,0.0,0.9047619047619048,0.9,0.0,0.9473684210526316,2.0,0.07692307692307693,0.6666666666666666,0.125,0.16666666666666666,0.5714285714285714,0.24,0.3333333333333333,0.625,0.35294117647058826,0.6206896551724138,0.45,0.0,0.46153846153846156,0.7142857142857143,0.35294117647058826,0.6111111111111112,0.5925925925925926,0.4888888888888889,0.3333333333333333,0.8333333333333334,0.2222222222222222,0.7547169811320755,1.0,0.3939393939393939,0.6521739130434783,0.5454545454545454,0.5357142857142857,0.6,0.6363636363636364,0.4528301886792453,29.0,0.0
9,10,4,0.6,0.2,1000,ancestral,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,67.43202555199969,0.16519418400002905,35.01752424300048,1.0,0.0,1.0,0.5882352941176471,0.0,0.7407407407407407,1.0,0.2,0.8888888888888888,0.88,0.7857142857142857,0.0,0.5789473684210527,0.0,0.7333333333333333,0.6428571428571429,0.18181818181818182,0.7200000000000001,7.0,0.0,1.0,0.0,0.23529411764705882,0.0,0.38095238095238093,0.5,0.8,0.2857142857142857,0.6666666666666666,0.5,0.0,0.5714285714285714,0.6666666666666666,0.42105263157894735,0.4117647058823529,0.6956521739130435,0.35,0.25,0.9333333333333333,0.10526315789473684,0.5641025641025641,0.7857142857142857,0.56,0.47368421052631576,0.6538461538461539,0.4,0.5,0.72,0.358974358974359,25.0,0.0
