num_nodes,avg_degree,frac_directed,degree_variance,num_samples,admg_model,beta_low,beta_high,omega_offdiag_low,omega_offdiag_high,omega_diag_low,omega_diag_high,standardize_data,center_data,steps_per_env,n_envs,normalize_advantage,n_epochs,device,n_steps,ent_coef,dcd_num_restarts,vec_envs_random_state,do_thresholding,threshold,generator_seed,relcadilac_time_sec,ground_truth_bic,relcadilac_pred_bic,gfci_time_sec,dcd_time_sec,dcd_pag_metrics_tail_tpr,dcd_pag_metrics_tail_fdr,dcd_pag_metrics_tail_f1,dcd_pag_metrics_head_tpr,dcd_pag_metrics_head_fdr,dcd_pag_metrics_head_f1,dcd_pag_metrics_circle_tpr,dcd_pag_metrics_circle_fdr,dcd_pag_metrics_circle_f1,dcd_pag_metrics_skeleton_f1,dcd_pag_metrics_skeleton_tpr,dcd_pag_metrics_skeleton_fdr,dcd_admg_metrics_skeleton_tpr,dcd_admg_metrics_skeleton_fdr,dcd_admg_metrics_skeleton_f1,dcd_admg_metrics_admg_tpr,dcd_admg_metrics_admg_fdr,dcd_admg_metrics_admg_f1,dcd_admg_metrics_admg_shd,gfci_pag_metrics_tail_tpr,gfci_pag_metrics_tail_fdr,gfci_pag_metrics_tail_f1,gfci_pag_metrics_head_tpr,gfci_pag_metrics_head_fdr,gfci_pag_metrics_head_f1,gfci_pag_metrics_circle_tpr,gfci_pag_metrics_circle_fdr,gfci_pag_metrics_circle_f1,gfci_pag_metrics_skeleton_f1,gfci_pag_metrics_skeleton_tpr,gfci_pag_metrics_skeleton_fdr,relcadilac_pag_metrics_tail_tpr,relcadilac_pag_metrics_tail_fdr,relcadilac_pag_metrics_tail_f1,relcadilac_pag_metrics_head_tpr,relcadilac_pag_metrics_head_fdr,relcadilac_pag_metrics_head_f1,relcadilac_pag_metrics_circle_tpr,relcadilac_pag_metrics_circle_fdr,relcadilac_pag_metrics_circle_f1,relcadilac_pag_metrics_skeleton_f1,relcadilac_pag_metrics_skeleton_tpr,relcadilac_pag_metrics_skeleton_fdr,relcadilac_admg_metrics_skeleton_tpr,relcadilac_admg_metrics_skeleton_fdr,relcadilac_admg_metrics_skeleton_f1,relcadilac_admg_metrics_admg_tpr,relcadilac_admg_metrics_admg_fdr,relcadilac_admg_metrics_admg_f1,relcadilac_admg_metrics_admg_shd,relcadilac_thresh_pag_metrics_tail_tpr,relcadilac_thresh_pag_metrics_tail_fdr,relcadilac_thresh_pag_metrics_tail_f1,relcadilac_thresh_pag_metrics_head_tpr,relcadilac_thresh_pag_metrics_head_fdr,relcadilac_thresh_pag_metrics_head_f1,relcadilac_thresh_pag_metrics_circle_tpr,relcadilac_thresh_pag_metrics_circle_fdr,relcadilac_thresh_pag_metrics_circle_f1,relcadilac_thresh_pag_metrics_skeleton_f1,relcadilac_thresh_pag_metrics_skeleton_tpr,relcadilac_thresh_pag_metrics_skeleton_fdr,relcadilac_thresh_admg_metrics_skeleton_tpr,relcadilac_thresh_admg_metrics_skeleton_fdr,relcadilac_thresh_admg_metrics_skeleton_f1,relcadilac_thresh_admg_metrics_admg_tpr,relcadilac_thresh_admg_metrics_admg_fdr,relcadilac_thresh_admg_metrics_admg_f1,relcadilac_thresh_admg_metrics_admg_shd
10,4,0.6,0.2,500,bow-free,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,True,0.05,32,94.62907920600264,7215.074367541181,7272.003173828125,0.6193923359969631,420.588791015005,0.0,1.0,0.0,0.5555555555555556,0.2,0.6557377049180327,0.7058823529411765,0.3684210526315789,0.6666666666666666,0.8571428571428571,0.8108108108108109,0.09090909090909091,0.45,0.5263157894736842,0.46153846153846156,0.42857142857142855,0.5714285714285714,0.42857142857142855,32.0,0.0,1.0,0.0,0.16666666666666666,0.5384615384615384,0.24489795918367346,0.14705882352941177,0.5454545454545454,0.2222222222222222,0.4897959183673469,0.32432432432432434,0.0,0.0,1.0,0.0,0.2777777777777778,0.5454545454545454,0.3448275862068966,0.5588235294117647,0.6122448979591837,0.4578313253012048,0.8533333333333334,0.8648648648648649,0.15789473684210525,0.525,0.5434782608695652,0.4883720930232558,0.32142857142857145,0.7631578947368421,0.2727272727272727,48.0,0.0,1.0,0.0,0.4166666666666667,0.5161290322580645,0.44776119402985076,0.17647058823529413,0.7391304347826086,0.21052631578947367,0.8,0.7567567567567568,0.15151515151515152,0.475,0.6274509803921569,0.4175824175824176,0.32142857142857145,0.7631578947368421,0.2727272727272727,43.0
10,4,0.6,0.2,500,bow-free,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,True,0.05,32,95.11931157798972,6449.9479145703435,6498.983860015869,0.15865374301210977,1196.5827731489844,0.0,1.0,0.0,0.7058823529411765,0.25,0.7272727272727273,0.71875,0.54,0.5609756097560976,0.8888888888888888,0.9473684210526315,0.16279069767441862,0.6046511627906976,0.43478260869565216,0.5842696629213483,0.42424242424242425,0.5625,0.43076923076923074,37.0,0.0,1.0,0.0,0.11764705882352941,0.5,0.19047619047619047,0.09375,0.5714285714285714,0.15384615384615385,0.34782608695652173,0.21052631578947367,0.0,0.0,1.0,0.0,0.6470588235294118,0.18518518518518517,0.7213114754098361,0.75,0.52,0.5853658536585366,0.925,0.9736842105263158,0.11904761904761904,0.6046511627906976,0.44680851063829785,0.5777777777777777,0.3939393939393939,0.675,0.35616438356164376,47.0,0.0,1.0,0.0,0.6470588235294118,0.2903225806451613,0.676923076923077,0.5625,0.5384615384615384,0.5070422535211268,0.8831168831168831,0.8947368421052632,0.1282051282051282,0.5581395348837209,0.5555555555555556,0.4948453608247423,0.3939393939393939,0.6904761904761905,0.3466666666666667,44.0
10,4,0.6,0.2,500,bow-free,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,True,0.05,32,81.89748530799989,6408.410253436039,6474.5941162109375,0.01799912200658582,80.61265798899694,0.5714285714285714,0.2,0.6666666666666666,0.6,0.375,0.6122448979591837,0.75,0.8421052631578947,0.2608695652173913,0.7142857142857143,0.8333333333333334,0.375,0.6538461538461539,0.46875,0.5862068965517241,0.6111111111111112,0.5,0.55,18.0,0.0,1.0,0.0,0.08,0.0,0.14814814814814814,0.5,0.8571428571428571,0.2222222222222222,0.6153846153846154,0.4444444444444444,0.0,0.0,1.0,0.0,0.52,0.6285714285714286,0.43333333333333335,0.75,0.9230769230769231,0.13953488372093023,0.5818181818181818,0.8888888888888888,0.5675675675675675,0.6538461538461539,0.5641025641025641,0.5230769230769231,0.6666666666666666,0.6129032258064516,0.4897959183673469,25.0,0.5714285714285714,0.5,0.5333333333333333,0.6,0.4642857142857143,0.5660377358490566,0.75,0.8125,0.3,0.6818181818181818,0.8333333333333334,0.4230769230769231,0.6538461538461539,0.5853658536585366,0.5074626865671642,0.6666666666666666,0.6,0.5,19.0
10,4,0.6,0.2,500,bow-free,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,True,0.05,32,73.38761519399122,6468.43342042855,6554.847717285156,0.015361212979769334,69.6225003489817,0.0,1.0,0.0,0.5714285714285714,0.25,0.6486486486486487,0.47058823529411764,0.5294117647058824,0.47058823529411764,0.7368421052631579,0.7,0.2222222222222222,0.6521739130434783,0.25,0.6976744186046512,0.5625,0.4,0.5806451612903225,13.0,0.0,1.0,0.0,0.2857142857142857,0.0,0.4444444444444444,0.29411764705882354,0.375,0.4,0.5714285714285714,0.4,0.0,0.0,1.0,0.0,0.5714285714285714,0.5555555555555556,0.5,0.5882352941176471,0.696969696969697,0.4,0.6792452830188679,0.9,0.45454545454545453,0.4782608695652174,0.6944444444444444,0.3728813559322034,0.375,0.8,0.26086956521739135,34.0,0.0,1.0,0.0,0.5238095238095238,0.3888888888888889,0.5641025641025641,0.23529411764705882,0.75,0.24242424242424243,0.7906976744186046,0.85,0.2608695652173913,0.4782608695652174,0.6857142857142857,0.3793103448275862,0.375,0.7857142857142857,0.2727272727272727,27.0
10,4,0.6,0.2,500,bow-free,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,True,0.05,32,98.4555737930059,7459.69139198008,7482.4628829956055,0.15849674300989136,217.56805675997748,0.25,0.9090909090909091,0.13333333333333333,0.5365853658536586,0.3125,0.6027397260273972,0.30303030303030304,0.6296296296296297,0.3333333333333333,0.8648648648648649,0.8205128205128205,0.08571428571428572,0.6470588235294118,0.13157894736842105,0.7415730337078652,0.6111111111111112,0.26666666666666666,0.6666666666666666,22.0,0.0,1.0,0.0,0.0975609756097561,0.6363636363636364,0.15384615384615385,0.18181818181818182,0.3333333333333333,0.2857142857142857,0.40816326530612246,0.2564102564102564,0.0,1.0,0.6363636363636364,0.5333333333333333,0.43902439024390244,0.47058823529411764,0.48,0.6060606060606061,0.3548387096774194,0.625,0.8831168831168831,0.8717948717948718,0.10526315789473684,0.47058823529411764,0.4418604651162791,0.5106382978723404,0.3333333333333333,0.6756756756756757,0.32876712328767127,49.0,0.25,0.875,0.16666666666666666,0.36585365853658536,0.4827586206896552,0.42857142857142855,0.6060606060606061,0.3939393939393939,0.6060606060606061,0.8648648648648649,0.8205128205128205,0.08571428571428572,0.43137254901960786,0.5510204081632653,0.44,0.3055555555555556,0.717948717948718,0.29333333333333333,48.0
10,4,0.6,0.2,1000,bow-free,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,True,0.05,32,152.40516709900112,12156.51173842836,12253.702163696289,0.025057393999304622,103.77967992602498,0.0,1.0,0.0,0.5,0.45,0.5238095238095238,0.7,0.8157894736842105,0.2916666666666667,0.7307692307692307,0.8260869565217391,0.3448275862068966,0.5384615384615384,0.391304347826087,0.5714285714285714,0.5789473684210527,0.3888888888888889,0.5945945945945946,15.0,0.14285714285714285,0.5,0.2222222222222222,0.22727272727272727,0.5,0.3125,0.3,0.5,0.375,0.6060606060606061,0.43478260869565216,0.0,0.21428571428571427,0.7272727272727273,0.24,0.45454545454545453,0.5652173913043478,0.4444444444444444,0.7,0.8157894736842105,0.2916666666666667,0.7796610169491526,1.0,0.3611111111111111,0.6923076923076923,0.5609756097560976,0.5373134328358209,0.42105263157894735,0.7714285714285715,0.2962962962962963,38.0,0.14285714285714285,0.0,0.25,0.5454545454545454,0.25,0.631578947368421,0.6,0.8,0.3,0.8085106382978723,0.8260869565217391,0.20833333333333334,0.5769230769230769,0.6153846153846154,0.46153846153846156,0.42105263157894735,0.7142857142857143,0.3404255319148936,26.0
10,4,0.6,0.2,1000,bow-free,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,True,0.05,32,114.3217423199967,15714.317803595522,15791.960716247559,0.15443946700543165,98.24447773498832,0.6666666666666666,0.6,0.5,0.5454545454545454,0.3076923076923077,0.6101694915254238,0.29411764705882354,0.6428571428571429,0.3225806451612903,0.8301886792452831,0.7857142857142857,0.12,0.5833333333333334,0.3225806451612903,0.6268656716417911,0.4782608695652174,0.5,0.4888888888888889,23.0,0.0,1.0,0.0,0.15151515151515152,0.16666666666666666,0.2564102564102564,0.29411764705882354,0.6428571428571429,0.3225806451612903,0.5263157894736842,0.35714285714285715,0.0,0.3333333333333333,0.9090909090909091,0.14285714285714285,0.2727272727272727,0.7352941176470589,0.26865671641791045,0.11764705882352941,0.8888888888888888,0.11428571428571428,0.7384615384615385,0.8571428571428571,0.35135135135135137,0.4722222222222222,0.575,0.4473684210526316,0.2608695652173913,0.8333333333333334,0.20338983050847456,47.0,0.3333333333333333,0.9,0.15384615384615385,0.2727272727272727,0.7096774193548387,0.28125,0.11764705882352941,0.8666666666666667,0.125,0.7540983606557377,0.8214285714285714,0.30303030303030304,0.4166666666666667,0.6666666666666666,0.37037037037037035,0.2608695652173913,0.8333333333333334,0.20338983050847456,42.0
10,4,0.6,0.2,1000,bow-free,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,True,0.05,32,177.57464214100037,13457.20721219464,13534.165382385254,0.027262365008937195,82.55563643298228,0.5384615384615384,0.631578947368421,0.4375,0.48484848484848486,0.4666666666666667,0.5079365079365079,0.3333333333333333,0.8666666666666667,0.19047619047619047,0.6896551724137931,0.7692307692307693,0.375,0.4857142857142857,0.45161290322580644,0.5151515151515151,0.56,0.44,0.56,22.0,0.3076923076923077,0.2,0.4444444444444444,0.30303030303030304,0.2857142857142857,0.425531914893617,0.3333333333333333,0.6,0.36363636363636365,0.631578947368421,0.46153846153846156,0.0,0.0,1.0,0.0,0.2727272727272727,0.55,0.33962264150943394,0.5,0.94,0.10714285714285714,0.71875,0.8846153846153846,0.39473684210526316,0.37142857142857144,0.7045454545454546,0.3291139240506329,0.24,0.8378378378378378,0.1935483870967742,50.0,0.15384615384615385,0.8181818181818182,0.16666666666666666,0.2727272727272727,0.5263157894736842,0.34615384615384615,0.5,0.8636363636363636,0.21428571428571427,0.7692307692307693,0.7692307692307693,0.23076923076923078,0.34285714285714286,0.6923076923076923,0.32432432432432434,0.24,0.8064516129032258,0.21428571428571427,39.0
10,4,0.6,0.2,1000,bow-free,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,True,0.05,32,145.92118550901068,13993.664320535074,14081.399917602539,0.02102553899749182,49.83772333399975,0.8888888888888888,0.0,0.9411764705882353,0.64,0.058823529411764705,0.7619047619047619,0.75,0.14285714285714285,0.8,0.8648648648648649,0.7619047619047619,0.0,0.6333333333333333,0.0,0.7755102040816326,0.65,0.1875,0.7222222222222223,10.0,0.1111111111111111,0.5,0.18181818181818182,0.32,0.2727272727272727,0.4444444444444444,0.125,0.8888888888888888,0.11764705882352941,0.6875,0.5238095238095238,0.0,0.3333333333333333,0.5714285714285714,0.375,0.44,0.6451612903225806,0.39285714285714285,0.5,0.8888888888888888,0.18181818181818182,0.6551724137931034,0.9047619047619048,0.4864864864864865,0.6666666666666666,0.5555555555555556,0.5333333333333333,0.5,0.7142857142857143,0.36363636363636365,35.0,0.3333333333333333,0.7272727272727273,0.3,0.4,0.6153846153846154,0.39215686274509803,0.375,0.8695652173913043,0.1935483870967742,0.6666666666666666,0.8095238095238095,0.43333333333333335,0.6333333333333333,0.5777777777777777,0.5066666666666667,0.5,0.6875,0.38461538461538464,27.0
10,4,0.6,0.2,1000,bow-free,0.5,2.0,0.4,0.7,0.7,1.2,False,True,2000,8,True,1,cuda,16,0.05,1,0,True,0.05,32,126.88363185100025,13702.23971707505,13814.785957336426,0.148798998008715,180.44792755800881,1.0,0.0,1.0,0.6666666666666666,0.4117647058823529,0.625,0.5,0.6666666666666666,0.4,0.7586206896551724,0.8461538461538461,0.3125,0.6842105263157895,0.4090909090909091,0.6341463414634146,0.5384615384615384,0.5333333333333333,0.5,14.0,0.0,1.0,0.0,0.13333333333333333,0.5,0.21052631578947367,0.5,0.6666666666666666,0.4,0.7619047619047619,0.6153846153846154,0.0,0.3333333333333333,0.9523809523809523,0.08333333333333333,0.4,0.8181818181818182,0.25,0.0,1.0,0.0,0.5454545454545454,0.9230769230769231,0.6129032258064516,0.47368421052631576,0.75,0.32727272727272727,0.23076923076923078,0.9,0.13953488372093023,37.0,0.0,1.0,0.0,0.26666666666666666,0.7333333333333333,0.26666666666666666,0.125,0.9166666666666666,0.1,0.6896551724137931,0.7692307692307693,0.375,0.3684210526315789,0.7586206896551724,0.2916666666666667,0.23076923076923078,0.8571428571428571,0.17647058823529413,23.0
